##########################################
 Changes in width and/or sidebearings:
##########################################

periodcentered.loclCAT []
[  26 27 :    wg400-wd25-oz6-GD100-RD0-sl-10
[  26 27 :    wg400-wd25-oz6-GD100-RD100-sl-10
[  39 40 :    wg1-wd151-oz6-GD100-RD0-sl-10
[  39 40 :    wg1-wd151-oz6-GD100-RD100-sl-10
[  41 42 :    wg400-wd151-oz6-GD100-RD0-sl-10
[  41 42 :    wg400-wd151-oz6-GD100-RD100-sl-10
[  35 36 :    wg1-wd25-oz18-GD100-RD0-sl-10
[  35 36 :    wg1-wd25-oz18-GD100-RD100-sl-10
[  17 15 :    wg400-wd25-oz18-GD100-RD0-sl-10
[  17 15 :    wg400-wd25-oz18-GD100-RD100-sl-10


periodcentered.loclCAT.case []
[  -696 -695 : wg400-wd151-oz18-GD100-RD0-sl-10
[  -696 -695 : wg400-wd151-oz18-GD100-RD100-sl-10


sterling.tf []
[  100 101 :  wg1-wd25-oz6-GD0-RD100-sl0
[  77 76 :    wg1000-wd25-oz6-GD0-RD100-sl0
[  159 158 :  wg1000-wd100-oz6-GD0-RD100-sl0
[  259 260 :  wg400-wd151-oz6-GD0-RD100-sl0
[  134 125 :  wg1-wd25-oz6-GD0-RD0-sl-10
[  130 121 :  wg1-wd25-oz6-GD0-RD100-sl-10
[  225 226 :  wg400-wd100-oz18-GD0-RD100-sl-10
[  52 53 :    wg1000-wd25-oz144-GD0-RD0-sl-10
[  67 53 :    wg400-wd25-oz6-GD100-RD100-sl0
[  77 76 :    wg1000-wd25-oz6-GD100-RD100-sl0
[  239 234 :  wg1-wd100-oz6-GD100-RD100-sl0
[  190 180 :  wg400-wd100-oz6-GD100-RD100-sl0
[  159 158 :  wg1000-wd100-oz6-GD100-RD100-sl0
[  307 293 :  wg1-wd151-oz6-GD100-RD100-sl0
[  240 233 :  wg400-wd151-oz6-GD100-RD100-sl0
[  24 23 :    wg400-wd25-oz144-GD100-RD100-sl0
[  182 183 :  wg400-wd100-oz18-GD100-RD100-sl-10
[  52 53 :    wg1000-wd25-oz144-GD100-RD0-sl-10


