name,postscript_name,unicodes,opentype_category,export
.null,,,,True
uni000D,,000D,,True
NULL,,0000,,True
.notdef,,,,True
space,,0020,,True
exclam,,0021,,True
quotedbl,,0022,,True
numbersign,,0023,,True
dollar,,0024,,True
percent,,0025,,True
ampersand,,0026,,True
quotesingle,,0027,,True
parenleft,,0028,,True
parenright,,0029,,True
asterisk,,002A,,True
plus,,002B,,True
comma,,002C,,True
hyphen,,002D,,True
period,,002E,,True
slash,,002F,,True
zero,,0030,,True
one,,0031,,True
two,,0032,,True
three,,0033,,True
four,,0034,,True
five,,0035,,True
six,,0036,,True
seven,,0037,,True
eight,,0038,,True
nine,,0039,,True
colon,,003A,,True
semicolon,,003B,,True
less,,003C,,True
equal,,003D,,True
greater,,003E,,True
question,,003F,,True
at,,0040,,True
A,,0041,base,True
B,,0042,base,True
C,,0043,base,True
D,,0044,base,True
E,,0045,base,True
F,,0046,base,True
G,,0047,base,True
H,,0048,base,True
I,,0049,base,True
J,,004A,base,True
K,,004B,base,True
L,,004C,base,True
M,,004D,base,True
N,,004E,base,True
O,,004F,base,True
P,,0050,base,True
Q,,0051,base,True
R,,0052,base,True
S,,0053,base,True
T,,0054,base,True
U,,0055,base,True
V,,0056,base,True
W,,0057,base,True
X,,0058,base,True
Y,,0059,base,True
Z,,005A,base,True
bracketleft,,005B,,True
backslash,,005C,,True
bracketright,,005D,,True
asciicircum,,005E,,True
underscore,,005F,,True
grave,,0060,,True
a,,0061,base,True
b,,0062,base,True
c,,0063,base,True
d,,0064,base,True
e,,0065,base,True
f,,0066,base,True
g,,0067,base,True
h,,0068,base,True
i,,0069,base,True
j,,006A,base,True
k,,006B,base,True
l,,006C,base,True
m,,006D,base,True
n,,006E,base,True
o,,006F,base,True
p,,0070,base,True
q,,0071,base,True
r,,0072,base,True
s,,0073,base,True
t,,0074,base,True
u,,0075,base,True
v,,0076,base,True
w,,0077,base,True
x,,0078,base,True
y,,0079,base,True
z,,007A,base,True
braceleft,,007B,,True
bar,,007C,,True
braceright,,007D,,True
asciitilde,,007E,,True
zeropercent,,,,True
percentbar,,,,True
exclam-top,,,,True
question-top,,,,True
dot-composite,,,,True
nbspace,uni00A0,00A0,,True
exclamdown,,00A1,,True
cent,,00A2,,True
sterling,,00A3,,True
currency,,00A4,,True
yen,,00A5,,True
brokenbar,,00A6,,True
section,,00A7,,True
dieresis,,00A8,,True
copyright,,00A9,,True
ordfeminine,,00AA,,True
guillemetleft,guillemotleft,00AB,,True
logicalnot,,00AC,,True
softhyphen,uni00AD,00AD,,True
registered,,00AE,,True
macron,,00AF,,True
degree,,00B0,,True
plusminus,,00B1,,True
twosuperior,uni00B2,00B2,,True
threesuperior,uni00B3,00B3,,True
acute,,00B4,,True
micro,uni00B5,00B5,,True
paragraph,,00B6,,True
periodcentered,,00B7,,True
cedilla,,00B8,,True
onesuperior,uni00B9,00B9,,True
ordmasculine,,00BA,,True
guillemetright,guillemotright,00BB,,True
onequarter,,00BC,,True
onehalf,,00BD,,True
threequarters,,00BE,,True
questiondown,,00BF,,True
Agrave,,00C0,base,True
Aacute,,00C1,base,True
Acircumflex,,00C2,base,True
Atilde,,00C3,base,True
Adieresis,,00C4,base,True
Aring,,00C5,base,True
AE,,00C6,base,True
Ccedilla,,00C7,base,True
Egrave,,00C8,base,True
Eacute,,00C9,base,True
Ecircumflex,,00CA,base,True
Edieresis,,00CB,base,True
Igrave,,00CC,base,True
Iacute,,00CD,base,True
Icircumflex,,00CE,base,True
Idieresis,,00CF,base,True
Eth,,00D0,base,True
Ntilde,,00D1,base,True
Ograve,,00D2,base,True
Oacute,,00D3,base,True
Ocircumflex,,00D4,base,True
Otilde,,00D5,base,True
Odieresis,,00D6,base,True
multiply,,00D7,,True
Oslash,,00D8,base,True
Ugrave,,00D9,base,True
Uacute,,00DA,base,True
Ucircumflex,,00DB,base,True
Udieresis,,00DC,base,True
Yacute,,00DD,base,True
Thorn,,00DE,base,True
germandbls,,00DF,base,True
agrave,,00E0,base,True
aacute,,00E1,base,True
acircumflex,,00E2,base,True
atilde,,00E3,base,True
adieresis,,00E4,base,True
aring,,00E5,base,True
ae,,00E6,base,True
ccedilla,,00E7,base,True
egrave,,00E8,base,True
eacute,,00E9,base,True
ecircumflex,,00EA,base,True
edieresis,,00EB,base,True
igrave,,00EC,base,True
iacute,,00ED,base,True
icircumflex,,00EE,base,True
idieresis,,00EF,base,True
eth,,00F0,base,True
ntilde,,00F1,base,True
ograve,,00F2,base,True
oacute,,00F3,base,True
ocircumflex,,00F4,base,True
otilde,,00F5,base,True
odieresis,,00F6,base,True
divide,,00F7,,True
oslash,,00F8,base,True
ugrave,,00F9,base,True
uacute,,00FA,base,True
ucircumflex,,00FB,base,True
udieresis,,00FC,base,True
yacute,,00FD,base,True
thorn,,00FE,base,True
ydieresis,,00FF,base,True
idotless,dotlessi,0131,base,True
circumflex,,02C6,,True
caron,,02C7,,True
breve,,02D8,,True
dotaccent,,02D9,,True
ring,,02DA,,True
ogonek,,02DB,,True
tilde,,02DC,,True
hungarumlaut,,02DD,,True
gravecomb,,0300,mark,True
acutecomb,,0301,mark,True
circumflexcomb,uni0302,0302,mark,True
tildecomb,,0303,mark,True
macroncomb,uni0304,0304,mark,True
brevecomb,uni0306,0306,mark,True
dotaccentcomb,uni0307,0307,mark,True
dieresiscomb,uni0308,0308,mark,True
ringcomb,uni030A,030A,mark,True
hungarumlautcomb,uni030B,030B,mark,True
caroncomb,uni030C,030C,mark,True
cedillacomb,uni0327,0327,mark,True
ogonekcomb,uni0328,0328,mark,True
mu,uni03BC,03BC,,True
guilsinglleft,,2039,,True
guilsinglright,,203A,,True
fraction,,2044,,True
foursuperior,uni2074,2074,,True
f_i,,FB01,ligature,True
f_l,,FB02,ligature,True
Eth-bar,,,,True
Oslash-bar,,,,True
oslash-bar,,,,True
flig2,,,,True
flig1,,,,True
zero.numerator,,,,True
one.numerator,,,,True
two.numerator,,,,True
three.numerator,,,,True
four.numerator,,,,True
five.numerator,,,,True
six.numerator,,,,True
seven.numerator,,,,True
eight.numerator,,,,True
nine.numerator,,,,True
zero.denominator,,,,True
one.denominator,,,,True
two.denominator,,,,True
three.denominator,,,,True
four.denominator,,,,True
five.denominator,,,,True
six.denominator,,,,True
seven.denominator,,,,True
eight.denominator,,,,True
nine.denominator,,,,True
a.alt,,,base,True
g.alt,,,,True
caroncomb.alt,uni030C.alt,,mark,True
Germandbls,uni1E9E,1E9E,,True
OE,,0152,base,True
oe,,0153,base,True
diagonalbarl,,,,True
commaaccentcomb,uni0326,0326,mark,True
commaturnedabovecomb,uni0312,0312,mark,True
horizontalbarlc,,,,True
exclam-bottom,,,,True
question-bottom,,,,True
Ccaron,,010C,base,True
ccaron,,010D,base,True
Dcaron,,010E,base,True
dcaron,,010F,base,True
Ecaron,,011A,base,True
ecaron,,011B,base,True
Ncaron,,0147,base,True
ncaron,,0148,base,True
Rcaron,,0158,base,True
rcaron,,0159,base,True
Scaron,,0160,base,True
scaron,,0161,base,True
Tcaron,,0164,base,True
tcaron,,0165,base,True
Uring,,016E,base,True
uring,,016F,base,True
Zcaron,,017D,base,True
zcaron,,017E,base,True
IJ,,0132,base,True
ij,,0133,base,True
jdotless,uni0237,0237,base,True
Ydieresis,,0178,base,True
Ohungarumlaut,,0150,base,True
ohungarumlaut,,0151,base,True
Uhungarumlaut,,0170,base,True
uhungarumlaut,,0171,base,True
Edotaccent,,0116,base,True
edotaccent,,0117,base,True
Iogonek,,012E,base,True
iogonek,,012F,base,True
Umacron,,016A,base,True
umacron,,016B,base,True
Uogonek,,0172,base,True
uogonek,,0173,base,True
Aogonek,,0104,base,True
aogonek,,0105,base,True
Cacute,,0106,base,True
cacute,,0107,base,True
Eogonek,,0118,base,True
eogonek,,0119,base,True
Lslash,,0141,base,True
lslash,,0142,base,True
Nacute,,0143,base,True
nacute,,0144,base,True
Sacute,,015A,base,True
sacute,,015B,base,True
Zacute,,0179,base,True
zacute,,017A,base,True
Zdotaccent,,017B,base,True
zdotaccent,,017C,base,True
Abreve,,0102,base,True
abreve,,0103,base,True
Scommaaccent,uni0218,0218,base,True
scommaaccent,uni0219,0219,base,True
Tcommaaccent,uni021A,021A,base,True
tcommaaccent,uni021B,021B,base,True
Tcedilla,uni0162,0162,base,True
tcedilla,uni0163,0163,base,True
Scedilla,,015E,base,True
